id,stackName,metaID
6,湿件维生电路基板,32006
7,塑料电路基板,32007
8,生物电路基板,32008
11,贴片电阻,32011
12,玻璃管,32012
14,小型线圈,32014
16,贴片二极管,32016
18,贴片晶体管,32018
20,贴片电容,32020
21,玻璃纤维,32021
22,培养皿,32022
23,防爆玻璃管,32023
24,进阶贴片电阻,32024
25,进阶贴片二极管,32025
26,进阶贴片晶体管,32026
27,进阶贴片电容,32027
30,单晶硅,32030
31,磷掺杂的单晶硅,32031
32,硅岩掺杂的单晶硅,32032
33,晶圆,32033
34,磷掺杂的晶圆,32034
35,硅岩掺杂的晶圆,32035
36,集成逻辑电路（晶圆）,32036
37,集成逻辑电路,32037
38,RAM芯片（晶圆）,32038
39,RAM芯片,32039
40,NAND存储器芯片（晶圆）,32040
41,NAND存储器芯片,32041
42,NOR存储器芯片（晶圆）,32042
43,NOR存储器芯片,32043
44,中央处理器（晶圆）,32044
45,中央处理器,32045
46,SoC晶圆,32046
47,SoC,32047
48,ASoC晶圆,32048
49,ASoC,32049
50,功率IC晶圆,32050
51,功率集成电路,32051
52,高功率IC晶圆,32052
53,高功率集成电路,32053
54,纳米CPU晶圆,32054
55,纳米组件中央处理器,32055
56,QBitl晶圆,32056
57,QBitl处理单元,32057
58,超高功率IC晶圆,32058
59,超高功率集成电路,32059
60,简单的SoC晶圆,32060
61,简易SoC,32061
62,超低功率IC晶圆,32062
63,超低功率集成电路,32063
64,低功率IC晶圆,32064
65,低功率集成电路,32065
68,先进晶体芯片原料,32068
69,晶体芯片原料,32069
70,晶体处理器单元,32070
71,晶体SoC,32071
72,神经元处理器,32072
73,干细胞,32073
74,晶体芯片碎片,32074
75,NAND芯片,32075
76,生物细胞,32076
77,生物处理器单元,32077
78,微型处理器,32078
79,优质集成电路板,32079
80,集成处理器,32080
82,纳米处理器,32082
83,纳米集群,32083
84,纳米超级计算机,32084
85,量子处理器,32085
86,量子集群,32086
87,量子超级计算机,32087
88,量子主机,32088
89,晶体处理器,32089
90,晶体超级计算机,32090
91,晶体主机,32091
92,湿件处理器,32092
93,湿件集群,32093
94,湿件超级计算机,32094
95,湿件主机,32095
96,晶体集群,32096
97,生物处理器,32097
98,生物集群,32098
99,生物超级计算机,32099
100,电路基板,32100
101,进阶电路基板,32101
102,高级电路基板,32102
103,精制电路基板,32103
104,精英电路基板,32104
105,超级湿件维生电路基板,32105
106,塑料电路基板,32106
107,超生物突变电路基板,32107
110,真空管导线,32110
120,生物主机,32120
130,太阳能覆盖板（UHV）,32130
131,太阳能覆盖板（UEV）,32131
132,太阳能覆盖板（UIV）,32132
140,ULV线圈,32140
141,LV线圈,32141
142,MV线圈,32142
143,HV线圈,32143
144,EV线圈,32144
145,IV线圈,32145
146,LuV线圈,32146
147,ZPM线圈,32147
148,UV线圈,32148
149,UHV线圈,32149
150,铕掺杂的单晶硅,32150
151,铕掺杂的晶圆,32151
152,镅掺杂的单晶硅,32152
153,镅掺杂的晶圆,32153
154,光学处理器,32154
155,光学集群,32155
156,光学超级计算机,32156
157,光学主机,32157
160,纳米功率IC晶圆,32160
161,纳米功率IC,32161
162,皮米功率IC晶圆,32162
163,皮米功率IC,32163
164,量子功率IC晶圆,32164
165,量子功率IC,32165
166,异星处理器,32166
167,异星集群,32167
168,异星超级计算机,32168
169,异星主机,32169
170,寰宇处理器,32170
171,寰宇集群,32171
172,寰宇超级计算机,32172
173,寰宇主机,32173
174,超时空处理器,32174
175,超时空集群,32175
176,超时空超级计算机,32176
177,超时空主机,32177
178,光学贴片电阻,32178
179,光学贴片二极管,32179
180,光学贴片晶体管,32180
181,光学贴片电容,32181
182,贴片电感,32182
183,进阶贴片电感,32183
184,光学贴片电感,32184
188,活性生物晶圆,32188
189,活性生物芯片,32189
190,砷化镓晶体,32190
191,小型砷化镓晶体,32191
192,凯芙拉纤维,32192
193,编织凯芙拉,32193
194,纺丝器,32194
199,升级框架,32199
200,加速升级 x2,32200
201,加速升级 x4,32201
202,加速升级 x8,32202
203,加速升级 x16,32203
204,加速升级 x32,32204
205,加速升级 x64,32205
206,加速升级 x128,32206
207,加速升级 x256,32207
208,进阶加速升级 x256,32208
209,产量升级,32209
210,平原环境升级,32210
211,光照升级,32211
212,授粉升级,32212
213,严寒环境升级,32213
214,干燥升级,32214
215,自动化升级,32215
216,加湿器升级,32216
217,地狱环境升级,32217
218,花粉洗涤塔升级,32218
219,沙漠环境升级,32219
220,冷却器升级,32220
221,寿命升级,32221
222,气密性升级,32222
223,基因稳定升级,32223
224,丛林环境升级,32224
225,范围升级,32225
226,海洋环境升级,32226
227,露天环境升级,32227
228,加热器升级,32228
229,筛滤升级,32229
230,核能之星,32230
231,夜间升级,32231
232,数据发射器覆盖板,32232
233,活性炭滤网,32233
234,空的夸克释放催化剂外壳,32234
235,上-夸克释放催化剂,32235
236,下-夸克释放催化剂,32236
237,奇-夸克释放催化剂,32237
238,粲-夸克释放催化剂,32238
239,底-夸克释放催化剂,32239
240,顶-夸克释放催化剂,32240
241,非对齐夸克释放催化剂,32241
242,重地狱泥,32242
243,下界合金碎片种子,32243
244,易碎的下界合金碎片,32244
245,下界合金纳米颗粒,32245
246,强键合下界合金纳米颗粒,32246
247,热下界合金碎片,32247
248,海晶沉淀,32248
249,海晶晶体,32249
250,防辐射海晶硅岩复合片,32250
251,硅岩通用绝缘箔,32251
252,魔力蜂,32252
253,氧化铝支撑环,32253
254,原始氧化铝支撑环,32254
255,铍屏蔽板,32255
256,基础机甲芯片,32256
257,进阶机甲芯片,32257
258,异星机甲芯片,32258
259,UEV线圈,32259
260,UIV线圈,32260
261,UMV线圈,32261
262,UXV线圈,32262
263,MAX线圈,32263
264,拟星,32264
266,飞米功率IC晶圆,32266
267,飞米功率IC,32267
268,阿米功率IC晶圆,32268
269,阿米功率IC,32269
270,仄米功率IC晶圆,32270
271,仄米功率IC,32271
272,幺米功率IC晶圆,32272
273,幺米功率IC,32273
274,普朗克功率IC晶圆,32274
275,普朗克功率IC,32275
276,无尽晶圆,32276
277,引力透镜,32277
278,普朗克尺度流形,32278
300,稳定重子约束单元,32300
301,稳定轻子约束单元,32301
302,稳定介子约束单元,32302
303,稳定玻色子约束单元,32303
304,稳定型空置收容单元,32304
305,基础电子电路,32305
306,高级集成电路,32306
307,原始防护,32307
308,初始防护,32308
309,完美防护,32309
310,原始波导,32310
311,初始波导,32311
312,完美波导,32312
313,原始能量导管,32313
314,初始能量导管,32314
315,完美能量导管,32315
316,原始电重力阀,32316
317,初始电重力阀,32317
318,完美电重力阀,32318
319,粗制波动核心,32319
320,强化波动核心,32320
321,精致波动核心,32321
322,辉煌波动核心,32322
323,粗制谐振腔,32323
324,强化谐振腔,32324
325,精致谐振腔,32325
326,辉煌谐振腔,32326
327,粗制传感器阵列,32327
328,强化传感器阵列,32328
329,精致传感器阵列,32329
330,辉煌传感器阵列,32330
331,粗制物质操纵者,32331
332,强化物质操纵者,32332
333,精致物质操纵者,32333
334,辉煌物质操纵者,32334
721,光学富集晶棒,32721
722,预备光子晶圆,32722
723,增强光子晶圆,32723
724,光学裸片,32724
725,光学兼容内存,32725
726,光学完美CPU,32726
727,光学CPU密封外壳,32727
728,光学电路基板,32728
729,异星电路基板,32729
730,寰宇电路基板,32730
731,超时空电路基板,32731
757,时间碎片,32757
758,超维校准矩阵,32758
759,热能超导体,32759
760,相对论级热容,32760
761,声子晶体种晶,32761
762,谐和化合物,32762
