id,name
0,Empty
1,Hydrogen
2,Deuterium
3,Tritium
4,Helium
5,Helium_3
6,Lithium
8,Beryllium
9,Boron
10,Carbon
12,Nitrogen
13,Oxygen
14,Fluorine
17,Sodium
18,Magnesium
19,Aluminium
20,Silicon
21,Phosphorus
22,Sulfur
23,Chlorine
24,Argon
25,Potassium
26,Calcium
27,Scandium
28,Titanium
29,Vanadium
30,Chrome
31,Manganese
32,Iron
33,Cobalt
34,Nickel
35,Copper
36,Zinc
37,Gallium
39,Arsenic
43,Rubidium
44,Strontium
45,Yttrium
47,Niobium
48,Molybdenum
52,Palladium
54,Silver
55,Cadmium
56,Indium
57,Tin
58,Antimony
59,Tellurium
62,Caesium
63,Barium
64,Lanthanum
65,Cerium
66,Praseodymium
67,Neodymium
68,Promethium
69,Samarium
70,Europium
71,Gadolinium
72,Terbium
73,Dysprosium
74,Holmium
75,Erbium
76,Thulium
77,Ytterbium
78,Lutetium
80,Tantalum
81,Tungsten
83,Osmium
84,Iridium
85,Platinum
86,Gold
87,Mercury
89,Lead
90,Bismuth
93,Radon
94,Francium_GT5U
96,Thorium
97,Uranium235
98,Uranium
100,Plutonium
101,Plutonium241
103,Americium
106,spatialFluid
109,ExcitedDTCC
110,TengamRaw
111,TengamPurified
112,TengamAttuned
113,ExcitedDTPC
114,InactiveCosmicSolder
115,BoundlessCosmicSolder
118,netherair
119,nethersemifluid
120,nefariousgas
121,ExcitedDTRC
122,nefariousoil
123,poornetherwaste
124,richnetherwaste
125,HellishMetal
126,ExcitedDTEC
127,ExcitedDTSC
129,Neutronium
130,DimensionallyTranscendentStellarCatalyst
131,SuperconductorUIVBase
132,Netherite
133,activatednetherite
134,SuperconductorUMVBase
135,prismarinesolution
136,prismarinecontaminatedhydrogenperoxide
137,prismarinerichnitrobenzenesolution
138,prismarinecontaminatednitrobenzenesolution
139,Universium
140,SuperCoolant
141,Eternity
142,PrimordialMatter
143,Magmatter
144,QuarkGluonPlasma
145,PhononMedium
146,PhononCrystalSolution
147,SixPhasedCopper
148,Mellion
149,Creon
150,GravitonShard
151,dimensionallyshiftedsuperfluid
152,protohalkonitebase
153,hotprotohalkonite
154,protohalkonite
155,moltenexohalkonitebase
156,hotexohalkonite
157,exohalkonite
158,Antimatter
159,Protomatter
160,sgcrystalslurry
161,prismaticgas
162,prismaticacid
163,prismaticnaquadah
164,prismaticnaquadahcompositeslurry
165,BrightLumipodExtract
166,BiocatalyzedPropulsionFluid
167,Chlorite
168,Staurolite
169,Cordierite
170,Datolite
171,MetamorphicMineralMixture
172,Plagioclase
173,Unformed Hexanite
174,Hexanite
